status,lot_no,stone_id,location,weight,shape,color,clarity,cut,polish,symmetry,rapnet_price,system_discount,system price,system amount,lab,certificate,certi_pdf_url,ratio,measurements,fluor_int,table,depth,crown_ht,crown_angle,pavilion_dep,pavilion_an,stone_type,v360,imgurl,eye_clean
Available,ADI19A,55942A,INDIA,1.26,Radiant,G,VVS2,,EX,EX,7300,-97.2,204.4,257.54,IGI,591330278,Click Here,1.43,7.76 x 5.42 x 3.44,None,74,63.5,11,46,48,32,CVD,Click Here,Click Here,YES
Available,ADI15,53583A,INDIA,1.23,Radiant,G,VS2,EX,EX,EX,6400,-97.3,172.8,212.54,NC,,,,*3.392,None,71.6,65.03,0,45.48,0,0,CVD,Click Here,Click Here,YES
Available,ADI19A,55894A,INDIA,1.23,Radiant,H,VS1,EX,EX,EX,6000,-96.89,186.6,229.52,NC,,,1.5,7.81 x 5.20 x 3.50,None,67.3,67.43,0,47.44,0,0,CVD,Click Here,Click Here,YES
Available,ADI19,55481A,INDIA,1.19,Radiant,E,VS1,,EX,EX,8000,-97.41,207,246.33,IGI,573391433,Click Here,1.51,7.74 x 5.11 x 3.46,None,69.5,67.7,11,40.1,51.5,32.4,CVD,Click Here,Click Here,YES
Available,ADI16,54360A,INDIA,1.14,Radiant,D,VS1,EX,EX,EX,8500,-97.75,191.25,218.03,IGI,570337774,,,,None,66.04,67.1,0,42.2,0,0,CVD,Click Here,Click Here,YES
Available,ADI20,56539B,INDIA,1.13,Radiant,G,VS2,EX,EX,EX,6400,-97.1,185.6,209.73,NC,,,1.49,7.67 x 5.14 x 3.30,None,71.56,64.1,0,45.44,0,0,CVD,Click Here,Click Here,YES
Available,RPE 10 132,59828B,INDIA,1.12,Radiant,D,VS2,,EX,EX,7300,-97,219,245.28,IGI,598345114,Click Here,1.45,7.42 x 5.13 x 3.35,None,63,65.3,13.5,39,47,31.3,CVD,Click Here,Click Here,YES
Available,RPE 183 121,56954C,INDIA,1.12,Radiant,F,VS2,EX,EX,EX,6700,-97.23,185.59,207.86,NC,,,1.35,6.80 x 5.04 x 3.67,None,73.17,72.81,0,50.97,0,0,CVD,Click Here,Click Here,YES
Available,ADI19C,56821A,INDIA,1.11,Radiant,E,VS1,,EX,EX,8000,-97.41,207,229.77,IGI,588351019,Click Here,1.51,7.55 x 5.00 x 3.33,None,67,66.6,14,44.8,48,31.7,CVD,Click Here,Click Here,YES
Available,ADI19,55273A,INDIA,1.11,Radiant,F,IF,,EX,EX,9400,-95,470,521.7,IGI,583317100,Click Here,1.46,7.35 x 5.04 x 3.27,None,67,64.9,12.5,42.2,47.5,30.6,CVD,Click Here,Click Here,YES
Available,RPE 5201 174,57431A,INDIA,1.11,Radiant,G,VS1,EX,EX,EX,7000,-97.27,191.1,212.12,NC,,,1.49,7.44 x 4.98 x 3.39,None,63.08,68.06,0,42.3,0,0,CVD,Click Here,Click Here,YES
Available,RPE 5201 174,57472A,INDIA,1.11,Radiant,I,VS1,EX,EX,EX,5100,-97.04,150.96,167.57,NC,,,1.6,7.58 x 4.74 x 3.11,None,66.84,65.67,0,41.83,0,0,CVD,Click Here,Click Here,YES
Available,RPE 1527A 83,57881B,,1.09,Radiant,E,VS1,,EX,EX,8000,-97.15,228,248.52,IGI,598377291,Click Here,1.47,7.33 x 4.98 x 2.95,None,70,59.2,10.5,37.7,0,38.9,CVD,Click Here,Click Here,YES
Available,RPE 5201 174,57455B,INDIA,1.09,Radiant,F,VS1,,EX,EX,7500,-97.37,197.5,215.28,IGI,593378933,Click Here,1.38,6.85 x 4.96 x 3.44,None,67,69.4,14,44.9,50,31.6,CVD,Click Here,Click Here,YES
Available,ADI19C,56839A,INDIA,1.08,Radiant,G,VS1,EX,EX,EX,7000,-97.17,198,213.84,NC,,,1.45,7.33 x 5.07 x 3.33,None,63.42,65.65,0,41.84,0,0,CVD,Click Here,Click Here,YES
Available,ADI19A,55803A,INDIA,1.08,Radiant,G,VS1,EX,EX,EX,7000,-97.17,198,213.84,NC,,,1.47,7.21 x 4.92 x 3.41,None,66.77,69.16,0,45.95,0,0,CVD,Click Here,Click Here,YES
Available,ADI19,55282A,INDIA,1.07,Radiant,E,VVS1,,EX,EX,9400,-97.2,263.2,281.62,IGI,576345036,Click Here,1.5,7.60 x 5.08 x 3.17,None,70,62.4,11,42,47,30.3,CVD,Click Here,Click Here,YES
Available,1,1221891-2,INDIA,1.07,Radiant,F,VS2,,EX,EX,6700,-97.4,174.47,186.68,IGI,581329310,Click Here,1.32,6.84 x 5.19 x 3.29,None,78,63.4,11,48.3,47,32.4,CVD,Click Here,Click Here,
Available,ADI20,56642A,INDIA,1.07,Radiant,G,VVS2,,EX,EX,7300,-97.4,190.09,203.4,IGI,584359807,Click Here,1.47,7.34 x 5.01 x 3.31,None,66,66.1,13.5,41.7,48,31.8,CVD,Click Here,Click Here,YES
Available,RPE 1339 259,57719A,INDIA,1.07,Radiant,G,VS1,,EX,EX,7000,-97.35,185.5,198.49,IGI,593378932,Click Here,1.49,7.37 x 4.93 x 3.36,None,62,68.2,14.5,39.7,47.5,31.5,CVD,Click Here,Click Here,YES
Available,RPE 5201 174,57374B,INDIA,1.07,Radiant,G,VS1,EX,EX,EX,7000,-97.17,198,211.86,NC,,,1.53,7.51 x 4.90 x 3.46,None,66.42,70.48,0,43.42,0,0,CVD,Click Here,Click Here,YES
Available,ADI19B,56777A,INDIA,1.07,Radiant,G,VS1,EX,EX,EX,7000,-97.17,198,211.86,NC,,,1.43,7.28 x 5.09 x 3.31,None,63.34,65.04,0,41.29,0,0,CVD,Click Here,Click Here,YES
Available,ADI19A,55845A,INDIA,1.06,Radiant,D,VS1,,EX,EX,8500,-97.26,233.33,247.32,IGI,584359808,Click Here,1.44,6.95 x 4.84 x 3.65,None,58,75.4,15.5,0,56.5,43.7,CVD,Click Here,Click Here,YES
Available,ADI19,55706A,INDIA,1.06,Radiant,D,VS1,,EX,EX,8500,-97.26,233.33,247.32,IGI,585307656,Click Here,1.44,7.10 x 4.94 x 3.46,None,63,70,17,45.9,48,32.4,CVD,Click Here,Click Here,YES
Available,ADI20,56686A,INDIA,1.06,Radiant,F,VS1,EX,EX,EX,7500,-97.46,190.5,201.93,NC,,,1.37,7.05 x 5.13 x 3.34,None,64.8,65.12,0,38.41,0,0,CVD,Click Here,Click Here,YES
Available,ADI15,53719A,INDIA,1.06,Radiant,G,VS2,,EX,EX,6400,-97.3,172.8,183.17,IGI,571386275,Click Here,1.44,7.50 x 5.20 x 3.12,None,75.5,60,10.5,43.1,45,30.6,CVD,Click Here,Click Here,YES
Available,RPE 5201 174,57374A,INDIA,1.05,Radiant,E,VS1,,EX,EX,8000,-97.41,207,217.35,IGI,591336888,Click Here,1.4,7.13 x 5.11 x 3.41,None,70,66.7,11.5,40.3,51.5,34.6,CVD,Click Here,Click Here,YES
Available,ADI16,54540A,INDIA,1.04,Radiant,E,VS1,,EX,EX,8000,-97.41,207,215.28,IGI,572346694,Click Here,1.52,7.73 x 5.09 x 3.06,None,71.5,60.1,10.5,40.6,45,29.3,CVD,Click Here,Click Here,YES
Available,ADI15,53754A,INDIA,1.04,Radiant,E,VS1,,EX,EX,8000,-97.41,207,215.28,IGI,570362524,Click Here,1.5,7.39 x 4.93 x 3.23,None,70.5,65.5,12,42.8,47.5,31.1,CVD,Click Here,Click Here,YES
Available,RPE 1339 259,57630A,INDIA,1.04,Radiant,F,VVS2,,EX,EX,8000,-97.2,224,232.96,IGI,593387997,Click Here,1.29,6.71 x 5.19 x 3.44,None,66,66.3,15,43.3,46.5,33.2,CVD,Click Here,Click Here,YES
Available,ADI20,56498A,INDIA,1.04,Radiant,F,VS1,,EX,EX,7500,-97.37,197.5,205.4,IGI,593378934,Click Here,1.52,7.32 x 4.80 x 3.33,None,65,69.4,14,43.1,50,31.8,CVD,Click Here,Click Here,YES
Available,NRF09,53108,INDIA,1.04,Radiant,F,VS2,,EX,EX,6700,-97.35,177.55,184.65,NC,,,1.45,7.23 x 4.99 x 3.32,,,,,,,,,Click Here,Click Here,YES
Available,RPE 5201 174,57411A,INDIA,1.04,Radiant,G,VS1,EX,EX,EX,7000,-97.27,191.1,198.74,NC,,,1.48,7.40 x 4.99 x 3.23,None,69.72,64.68,0,45.38,0,0,CVD,Click Here,Click Here,YES
Available,RPE-MRE,MRE-1012,INDIA,1.04,Radiant,I,SI2,,EX,EX,3500,-95.93,142.45,148.15,NC,,,1.34,6.68 x 4.98 x 3.31,,72.59,66.35,12.8,48,47.2,31.81,,Click Here,Click Here,
Available,RPE 5201 174E,58298A,INDIA,1.03,Radiant,F,VVS2,,EX,EX,8000,-97.2,224,230.72,IGI,596308510,Click Here,1.44,7.11 x 4.93 x 3.36,None,65,68.2,11.5,37.5,50,32.8,CVD,Click Here,Click Here,YES
Available,RPE 1339 259,57860A,INDIA,1.03,Radiant,G,VS1,,EX,EX,7000,-97.35,185.5,191.07,IGI,594320186,Click Here,1.44,7.09 x 4.91 x 3.27,None,65,66.6,16.5,47.5,45.5,30.5,CVD,Click Here,Click Here,YES
Available,RPE 1339 259,57692A,INDIA,1.03,Radiant,G,VS1,EX,EX,EX,7000,-97.27,191.1,196.83,NC,,,1.41,7.06 x 5.01 x 3.29,None,64.61,65.6,0,37.18,0,0,CVD,Click Here,Click Here,YES
Available,ADI16,54577A,INDIA,1.02,Radiant,D,VS1,,EX,VG,8500,-97.2,238,242.76,IGI,581326593,Click Here,1.62,7.33 x 4.53 x 2.96,None,57,65.3,16.5,44,41.5,55,CVD,Click Here,Click Here,YES
Available,ADI15,53621A,INDIA,1.02,Radiant,D,VS2,,EX,EX,7300,-97.2,204.4,208.49,IGI,577386291,Click Here,1.76,7.87 x 4.46 x 2.84,None,66.5,63.7,13,43,43.5,49.9,CVD,Click Here,Click Here,YES
Available,ADI15,53732A,INDIA,1.02,Radiant,E,VVS2,,EX,EX,8700,-97.2,243.6,248.47,IGI,573397933,Click Here,1.79,8.16 x 4.56 x 2.76,None,66,60.5,12.5,25.9,0,35.6,CVD,Click Here,Click Here,YES
Available,ADI15,53732B,INDIA,1.02,Radiant,E,VS1,,EX,EX,8000,-97.2,224,228.48,IGI,573317473,Click Here,1.8,8.16 x 4.53 x 2.74,None,64.5,60.5,13,26,0,32.5,CVD,Click Here,Click Here,YES
Available,ADI19,55551B,INDIA,1.02,Radiant,E,VS1,,EX,EX,8000,-97.41,207,211.14,IGI,585398520,Click Here,1.38,6.92 x 5.01 x 3.32,None,69,66.3,11.5,39.1,49,33.2,CVD,Click Here,Click Here,YES
Available,ADI16,54326A,INDIA,1.02,Radiant,E,VS2,,EX,EX,7000,-97.4,182.28,185.93,IGI,574322293,Click Here,1.4,6.99 x 5.01 x 3.25,None,73,64.9,9.5,37.8,49.5,30.1,CVD,Click Here,Click Here,YES
Available,ADI19,55737B,INDIA,1.02,Radiant,F,VS2,EX,EX,EX,6700,-97.23,185.59,189.3,NC,,,1.41,6.96 x 4.93 x 3.47,None,65.13,70.39,0,42.42,0,0,CVD,Click Here,Click Here,YES
Available,ADI19A,55829A,INDIA,1.02,Radiant,G,VVS1,,EX,EX,7700,-97.2,215.6,219.91,IGI,591369429,Click Here,1.46,7.17 x 4.90 x 3.29,None,68,67.1,14.5,47.4,48.5,31.7,CVD,Click Here,Click Here,YES
